Disease,ROC_AUC,Accuracy,Precision,Recall,F1_Score,MCC,TPR,TNR
DR,0.9597053209257933,0.909375,0.8032786885245902,0.7424242424242424,0.7716535433070867,0.7160962313284017,0.7424242424242424,0.952755905511811
ARMD,0.9716733694701871,0.9546875,0.6956521739130435,0.42105263157894735,0.5245901639344263,0.5198255353257262,0.42105263157894735,0.9883720930232558
MH,0.9614221153145273,0.94375,0.84375,0.7941176470588235,0.8181818181818182,0.7854509213298978,0.7941176470588235,0.9721189591078067
DN,0.80870297174645,0.9265625,0.48484848484848486,0.34782608695652173,0.4050632911392405,0.3728143569478055,0.34782608695652173,0.9713804713804713
MYA,0.9886915162104446,0.9640625,0.6410256410256411,0.7352941176470589,0.6849315068493151,0.6677335605918995,0.7352941176470589,0.976897689768977
BRVO,0.8954971460785005,0.975,0.8888888888888888,0.34782608695652173,0.5,0.5472733871692733,0.34782608695652173,0.9983792544570502
TSLN,0.9594648829431438,0.94375,0.8222222222222222,0.5692307692307692,0.6727272727272727,0.6560960109989058,0.5692307692307692,0.9860869565217392
ERM,0.771383434890544,0.9890625,0.0,0.0,0.0,0.0,0.0,1.0
LS,0.9747899159663866,0.9796875,0.8333333333333334,0.29411764705882354,0.4347826086956522,0.4880818692820773,0.29411764705882354,0.9983948635634029
MS,0.8236220472440945,0.9921875,0.0,0.0,0.0,0.0,0.0,1.0
CSR,0.9683480271715565,0.9828125,0.0,0.0,0.0,0.0,0.0,1.0
ODC,0.8866148278560251,0.9125,0.6481481481481481,0.4861111111111111,0.5555555555555555,0.5145969852909619,0.4861111111111111,0.9665492957746479
CRVO,0.9952531645569621,0.9921875,1.0,0.375,0.5454545454545454,0.6099643554451831,0.375,1.0
TV,0.4051724137931034,0.996875,0.0,0.0,0.0,0.0,0.0,1.0
AH,0.9882075471698113,0.99375,0.0,0.0,0.0,0.0,0.0,1.0
ODP,0.6894262089701829,0.95625,0.25,0.038461538461538464,0.06666666666666668,0.08410762634535701,0.038461538461538464,0.995114006514658
ODE,0.9509193014847296,0.9734375,0.625,0.47619047619047616,0.5405405405405405,0.5322944458069165,0.47619047619047616,0.9903069466882067
ST,0.7425314465408805,0.99375,0.0,0.0,0.0,0.0,0.0,1.0
AION,0.991496062992126,0.9921875,0.0,0.0,0.0,0.0,0.0,1.0
PT,0.9960815047021944,0.996875,0.0,0.0,0.0,0.0,0.0,1.0
RT,0.9926393270241851,0.99375,1.0,0.3333333333333333,0.5,0.575537548014466,0.3333333333333333,1.0
RS,0.9898448197170242,0.9859375,1.0,0.35714285714285715,0.5263157894736842,0.5933641292463384,0.35714285714285715,1.0
CRS,0.8382714265067206,0.98125,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.16693087977429802,0.09090909090909091,0.9968203497615262
EDN,0.9215748031496063,0.984375,0.0,0.0,0.0,-0.007874015748031496,0.0,0.9921259842519685
RPEC,0.8209779179810726,0.990625,0.0,0.0,0.0,0.0,0.0,1.0
MHL,0.8189429618001047,0.9953125,0.0,0.0,0.0,0.0,0.0,1.0
RP,0.8385579937304075,0.996875,0.0,0.0,0.0,0.0,0.0,1.0
CWS,0.7566718995290423,0.9953125,0.0,0.0,0.0,0.0,0.0,1.0
CB,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ODPM,0.8996865203761755,0.996875,0.0,0.0,0.0,0.0,0.0,1.0
PRH,0.755868544600939,0.9984375,0.0,0.0,0.0,0.0,0.0,1.0
MNF,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HR,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
CRAO,0.8048589341692789,0.996875,0.0,0.0,0.0,0.0,0.0,1.0
TD,0.38087774294670845,0.996875,0.0,0.0,0.0,0.0,0.0,1.0
CME,0.3004694835680751,0.9984375,0.0,0.0,0.0,0.0,0.0,1.0
PTCR,0.9640062597809077,0.9984375,0.0,0.0,0.0,0.0,0.0,1.0
CF,0.9647335423197493,0.996875,0.0,0.0,0.0,0.0,0.0,1.0
VH,0.4263322884012539,0.996875,0.0,0.0,0.0,0.0,0.0,1.0
MCA,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
VS,0.7514390371533228,0.9953125,0.0,0.0,0.0,0.0,0.0,1.0
BRAO,0.7351097178683386,0.996875,0.0,0.0,0.0,0.0,0.0,1.0
PLQ,0.47887323943661975,0.9984375,0.0,0.0,0.0,0.0,0.0,1.0
HPED,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
CL,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
